ordre	id_persona	inici_s	clip	transcripcio_base	transcripcio_small	sha256	text_base	text_small	consens_textual	jaccard_tokens	estat_audicio
1	pa-044	20	clips-quarantena-20s/pa-044__0020.wav	qa-quarantena-20s/pa-044__0020.txt	qa-quarantena-20s-small/pa-044__0020.txt	7b86fa03a1b3dfaf8bce47e0ca2f733802c89cc6b096b5de8459b216c92a63c1	El lliminar la identitat pròpia per assumir la identitat dels nens  és el primer pas pel camí del progès i del coneixement d'un país.  Avui parlarem de una persona dedicada integrament a la seva professió,  Aleshores...	I el que ha de fer és agafar l'identitat pròpia.  Eliminar l'identitat pròpia per assumir la identitat dels demés  és el primer pas pel camí del progrés i del coneixement d'un país.  Avui parlarem d'una persona dedicada a la seva professió.	no	0.5714	pendent
2	pa-044	80	clips-quarantena-20s/pa-044__0080.wav	qa-quarantena-20s/pa-044__0080.txt	qa-quarantena-20s-small/pa-044__0080.txt	3d2f837a80b9d2ef35b9b9d61053f8d88819642feb774553ab30f38ea7068223	ensenyat-les.  Així va néixer l'humanisme.  Partit del principi més elemental,  arribar a aconseguir una identitat  i el que és més maravallós,  compartir-la amb les entitats als altres.	i ensenyar-les.  Així va néixer l'humanisme,  partint del principi més elemental,  arribar a aconseguir una identitat.  I el que és més meravellós,  compartir-la amb les entitats dels altres.	no	0.6250	pendent
3	pa-044	140	clips-quarantena-20s/pa-044__0140.wav	qa-quarantena-20s/pa-044__0140.txt	qa-quarantena-20s-small/pa-044__0140.txt	7da335fbca2162a4e6c52273b524515d16229ef28bd0abca9bebd38640bc204d	El seu fill, el meu avi, ja va fer transport de mercaderies  i més a més va fer de transport de persones.  I era pràcticament el moleteu, el chauffer, el macho,  del visbidurgell, el veguer francès,  que venien els nàbils buscant al seu, els nàbils capranç,  es portàvem aquí.	I el seu fill, el meu avi, ja va fer transport de mercaderies  i a més a més va fer transport de persones.  I era pràcticament el moleteu, el xòfer, el macho,  del bisbe d'orgèl, del veguer francès,  que venia als nàvies a buscar la seu,  als nàvies a buscar la França, es portava aquí.	no	0.5778	pendent
4	pa-044	200	clips-quarantena-20s/pa-044__0200.wav	qa-quarantena-20s/pa-044__0200.txt	qa-quarantena-20s-small/pa-044__0200.txt	a68ec50fddf6fb374c29bc862c479dba7571e5e8a61052775893aa665f78fe45	Hi ha un tema molt curiós i és que, clar,  amb la vostra, jo diria filosofia de la vida,  que sou més aviat de l'Etat,  és perdó, d'alguna manera.  Acabeu de determinar-hi.  La meva primera intenció,  jo que em vaig escavar el vaigillerat, era de ser bogat.  Però em sembla que no m'agrada.	"I hi ha un tema molt curiós,  i és que, és clar, amb la vostra, jo diria, ""filosofia de la vida"",  que sou més aviat de lletres, perdut d'alguna manera,  acabeu de veterinari.  Bueno, la meva primera intenció, jo que em vaig escapar al batxillerat,  era de ser bogat.  Però em sembla molt bé."	no	0.5357	pendent
5	pa-044	260	clips-quarantena-20s/pa-044__0260.wav	qa-quarantena-20s/pa-044__0260.txt	qa-quarantena-20s-small/pa-044__0260.txt	1015defdddf218e4981c14b553fb4038ba2f00266e6da862636d4ef413a8e8fd	i sobri vivien a les pràctiques dels alumnes o l'estornaven.  -Sobri vivien? -Sí.  Sí, sí, sí, sí, perquè el final cap és ficar les mans...  Al dintre d'una vaca, per mirar a veure de què passa.  Doncs ja quan vaig arribar aquí, no té moment.  Pràctica de cap no en tenia.  Vaig tenir la sort de què hi havia un personatge...	i sobrevivien a les pràctiques dels alumnes, les tornaven.  -Sobrevivien? -Sí.  Sí, sí, sí, perquè al final cap vaig ficar les mans a dintre d'una vaca,  per mirar a veure de...  -Què passa? -Vale.  Llavors, quan vaig arribar aquí, no és de moment.  Pràctica de camp no en tenia.  Vaig tenir la sort que aquí hi havia un personatge...	no	0.5714	pendent
6	pa-047	60	clips-quarantena-20s/pa-047__0060.wav	qa-quarantena-20s/pa-047__0060.txt	qa-quarantena-20s-small/pa-047__0060.txt	b26bee5ef823d543a85fc27f1138d06a876487f535380d9cbf6a8cd1a53a4c9c	En el nostre país és el que té un index més elevat de mitjans de comunicació  a audiovisuals i escrites en relació al seu nombre de ciutadans.  Això és voce el periodisme, fos la forma moderna, ágil,  espiritual i fint i tot poètica, d'explicar l'afirament.	El nostre país és el que té un índex més elevat de mitjans de comunicació audiovisuals i escrites en relació al seu nombre de ciutadans.  Això és bo si el periodisme fos la forma moderna, àgil, espiritual i fins i tot poètica d'explicar la filòlegia.	no	0.6444	pendent
7	pa-047	120	clips-quarantena-20s/pa-047__0120.wav	qa-quarantena-20s/pa-047__0120.txt	qa-quarantena-20s-small/pa-047__0120.txt	2b370387ebae774ac1b1554b907c5a36e9c857a8f5e0c1a188ec4f2b230d17bc	que venia esde de Navarra i jo que estava a la mañana de Lleida,  vam començar una amistat  que, com a la pel·lícula Caixa Blanca, ha durat totes les dades.  És vericord, és d'aquí d'aquí d'una manera.  Recordo primer que, com ho t'ho ve n'has dit,  ara pentinen en canes, en aquell moment, tu canes, o n'hi ha.	"Vam començar una amistat que, com a la pel·lícula ""Casa Blanca"",  ha durat tota la vida.  Què recordes d'aquí de l'època?  Recordo, primer, que, com tu ho ve n'has dit,  ara pentinec canes, en aquell moment tu canes, oi?"	no	0.3667	pendent
8	pa-047	180	clips-quarantena-20s/pa-047__0180.wav	qa-quarantena-20s/pa-047__0180.txt	qa-quarantena-20s-small/pa-047__0180.txt	5118ee0d7100e2be735a34d246619b3ce3e7bb7729020d74635a87b158921493	I el cap d'un test va tornar a via cap aquí i aquí em va quedar.  Però ell abans ho ens comença a corresponsellar-te la mañana.  No estava endrediant d'orra,  que primer tenien que posar el marxa tot un sistema d'informatiu,  perquè redidant d'orra fissa aquella època.	No va arribar un any, va marxar,  i al cap d'un temps va tornar, va tornar a acabar aquí,  i aquí vaig estar, i aquí em vas quedar.  Bueno, però aquí, llavors, vam començar a ser  corresponsals de la mañana, corresponsals de l'Esquadra.  Quan no estàvem radiant d'Horra,  primer, teníem que posar en marxa tot un sistema d'informatiu,  perquè radiant d'Horra fins a aquella època...	no	0.3000	pendent
9	pa-047	240	clips-quarantena-20s/pa-047__0240.wav	qa-quarantena-20s/pa-047__0240.txt	qa-quarantena-20s-small/pa-047__0240.txt	31a9a66fe9a00edd449eefc456273dfb5846d73be8deef1da0effbc72c63d03f	No hi havia massa esposibilitat,  i el mateix tens és el de sempre que continuaves col·laborant  amb mitjans de comunicació de Catalunya, de Espanya,  d'acord que no es van conèixer tu i jo,  en treballant en la mañana de Yeida,  des que s'estavastien.	No hi havia moltes possibilitats.  El mateix temps continuaves col·laborant  en mitjans de comunicació de Catalunya i d'Espanya.  D'acord que ens vam conèixer tu i jo	no	0.3902	pendent
10	pa-047	300	clips-quarantena-20s/pa-047__0300.wav	qa-quarantena-20s/pa-047__0300.txt	qa-quarantena-20s-small/pa-047__0300.txt	7f410d50d17afd2b1ef3978c351541d5a61f984c41a53ee340e5360bbf721dde	Era molt difícil la societat d'Andorana no estava acostumada a sentir crítiques a la seva gestió,  i totes tenies que fer un periodisme un poco light.  I si et sordies que va ser mai ocàs, va sortir el que jo considerava que tenia que dir.  L'ho vas dir i vas passar per treure el de balles en la que ja he pogut.	No, era molt difícil, la societat d'Andorra no estava acostumada  a sentir crítiques a la seva gestió,  i que, doncs, tenies que fer un periodisme un poco light.  I si te sorties, que va ser en el meu cas,  va sortir el que jo considerava que tenia que dir.  Lo vas dir i vas passar per terminal de valles en aquella època.	no	0.5645	pendent
